poziom,nazwa,rodzic,typ,slug,H1,meta_title,meta_description,produkty_KOBI,volume,priorytet
1,Pokój dziecka i nastolatka,-,kategoria,/sklep/pokoj-dziecka/,Meble do pokoju dziecka i nastolatka,Meble do pokoju dziecka i nastolatka | KOBI,"Meble dziecięce i młodzieżowe od polskiego producenta: łóżka, biurka, szafy, regały i komody. Gwarancja 24 mies., wysyłka 3-5 dni. Sprawdź modele.","cała gałąź dziecięca",-,P1
2,Łóżka dziecięce,Pokój dziecka,kategoria,/sklep/pokoj-dziecka/lozka-dzieciece/,Łóżka dziecięce,Łóżka dziecięce - szeroki wybór modeli | KOBI,"Łóżka dziecięce z barierką i materacem od producenta. Modele z grafiką, domki i klasyczne. Polski producent, wysyłka 3-5 dni. Zobacz pełną ofertę.","AUTO, EMMA, ERYK, LEO, DUBI, FALA, ANIMALS, ANNA, MAX, LUK, Kareta",-,P1
2,Łóżka młodzieżowe,Pokój dziecka,kategoria,/sklep/pokoj-dziecka/lozka-mlodziezowe/,Łóżka młodzieżowe,Łóżka młodzieżowe rozsuwane | KOBI,"Łóżka młodzieżowe rozsuwane z szufladami, funkcja sofy dziennej. Tapicerowane panele velvet. Polski producent, gwarancja 24 mies. Sprawdź modele HELIOS.",HELIOS,-,P1
2,Biurka dziecięce i młodzieżowe,Pokój dziecka,kategoria,/sklep/pokoj-dziecka/biurka-dzieciece/,Biurka dziecięce i młodzieżowe,Biurka dziecięce i młodzieżowe | KOBI,"Biurka dziecięce i młodzieżowe: regulowane, z nadstawką, szkolne. Ergonomiczne dla ucznia. Polski producent, wysyłka 3-5 dni. Zobacz modele.","ELISS dziecięce, BASIC, PUFFI",210,P1
2,Szafy dziecięce,Pokój dziecka,kategoria,/sklep/pokoj-dziecka/szafy-dzieciece/,Szafy do pokoju dziecięcego,Szafy dziecięce - do pokoju dziecka | KOBI,"Szafy do pokoju dziecięcego: gładkie i graficzne fronty, wymienne uchwyty. Z lustrem lub bez. Polski producent, gwarancja 24 mies. Sprawdź modele.","STELLA, MELI, DUNO",5400,P1
2,Komody dziecięce,Pokój dziecka,kategoria,/sklep/pokoj-dziecka/komody-dzieciece/,Komody dziecięce,Komody dziecięce do pokoju dziecka | KOBI,"Komody dziecięce z szufladami, gładkie i z grafiką. Pasują do łóżek i szaf z kolekcji. Polski producent, wysyłka 3-5 dni. Zobacz pełną ofertę.","komody dziecięce, fronty graficzne",-,P1
2,Regały dziecięce,Pokój dziecka,kategoria,/sklep/pokoj-dziecka/regaly-dzieciece/,Regały dziecięce,Regały dziecięce - na zabawki i książki | KOBI,"Regały dziecięce: otwarte na zabawki i książki, do pokoju dziecka. Stabilne i bezpieczne. Polski producent, gwarancja 24 mies. Sprawdź modele LONI.",LONI,-,P1
2,Szafki nocne dziecięce,Pokój dziecka,kategoria,/sklep/pokoj-dziecka/szafki-nocne-dzieciece/,Szafki nocne dziecięce,Szafki nocne dziecięce | KOBI,"Szafki nocne dziecięce do pokoju chłopca i dziewczynki, z szufladą. Pasują do łóżek z kolekcji. Polski producent, wysyłka 3-5 dni. Zobacz modele.","szafki nocne dziecięce",390,P2
2,Toaletki dziecięce,Pokój dziecka,kategoria,/sklep/pokoj-dziecka/toaletki-dzieciece/,Toaletki dziecięce,Toaletki dziecięce dla dziewczynki | KOBI,"Toaletki dziecięce z lustrem dla dziewczynki, styl skandynawski i boho. Polski producent, gwarancja 24 mies., wysyłka 3-5 dni. Sprawdź modele.","toaletki dziecięce",-,P2
2,Półki dla dzieci,Pokój dziecka,kategoria,/sklep/pokoj-dziecka/polki-dla-dzieci/,Półki dla dzieci,Półki dla dzieci - ścienne i chmurki | KOBI,"Półki dla dzieci: ścienne, w kształcie chmurki, zestawy półek. Lekki montaż na ścianie. Polski producent, wysyłka 3-5 dni. Zobacz pełną ofertę.","LEWIT, MELI, CHMURKI, SERCA",-,P2
2,Stoliki i krzesełka dziecięce,Pokój dziecka,kategoria,/sklep/pokoj-dziecka/stoliki-i-krzeselka/,Stoliki i krzesełka dziecięce,Stoliki i krzesełka dziecięce | KOBI,"Stoliki i krzesełka dziecięce do zabawy i nauki, dopasowane wzrostem. Polski producent, gwarancja 24 mies., wysyłka 3-5 dni. Sprawdź zestawy.","stoliki i krzesełka",-,P2
2,Skrzynie na zabawki,Pokój dziecka,kategoria,/sklep/pokoj-dziecka/skrzynie-na-zabawki/,Skrzynie na zabawki,Skrzynie na zabawki do pokoju dziecka | KOBI,"Skrzynie na zabawki do pokoju dziecka, pojemne i bezpieczne. Pomagają utrzymać porządek. Polski producent, wysyłka 3-5 dni. Zobacz modele.","skrzynie",-,P2
2,Barierki i akcesoria,Pokój dziecka,kategoria,/sklep/pokoj-dziecka/barierki/,Barierki do łóżka dziecięcego,Barierki do łóżka dziecięcego | KOBI,"Barierki ochronne do łóżka dziecięcego, montaż lewo- i prawostronny. Stelaże dziecięce. Polski producent, wysyłka 3-5 dni. Sprawdź ofertę.","barierki, stelaże dziecięce",-,P2
3,Łóżko z barierką,Łóżka dziecięce,landing-filtr,/sklep/pokoj-dziecka/lozka-dzieciece/z-barierka/,Łóżko dziecięce z barierką,Łóżko dziecięce z barierką - bezpieczne | KOBI,"Łóżka dziecięce z barierką chroniącą przed wypadnięciem, montaż z dowolnej strony. Polski producent, gwarancja 24 mies. Sprawdź bezpieczne modele.","EMMA, ERYK, AUTO, FALA, LEO",590,P2
